parent,classification,used_by_lhs,stages,source_v4_lines,notes
r_mag_ref,parameter,I_exc_sp;TFe_i;magnetic_difficulty,boundary;magnetic,1207;1214;320,"Calibration, geometry, or tuning parameter; not generated by process equations."
r_sil,ore_or_process_state,buffer_capacity;floatability_difficulty;hydrophobic_potential;magnetic_difficulty;mu_feed;mu_slurry,flotation;global;magnetic;tower_mill,1207;1309;1478;207;238;250,Ore property or process state carried by streams or generated at boundary.
r_sil_i,ore_or_process_state,Fe_sil_i,boundary,344,Ore property or process state carried by streams or generated at boundary.
r_sil_ref,parameter,pH_sp_s,flotation,1520,"Calibration, geometry, or tuning parameter; not generated by process equations."
r_sil_s,ore_or_process_state,"buffer_capacity_s;dose_need_DF_K6_s;dose_need_cao_s;floatability_difficulty_s;k_float_sil_{s,c};mu_under_s;pH_sp_s",flotation,1459;1493;1519;1520;1522;1603;manual,Ore property or process state carried by streams or generated at boundary.
reagent_freq_lag,previous_state_reference,online_froth_proxy,dcs,1186,Lagged state supplied by the simulator state store.
reagent_supply_pressure_j,utility_state_input,"I_drug_j_phys_{s,j}",flotation,1501,Plant utility condition supplied by the environment model.
"recycle_grade_j_{s,1}",template_variable,"feed_j_rate_{s,c}",flotation,manual,Template index or symbolic family member resolved during code generation.
"recycle_grade_j_{s,2}",template_variable,"feed_j_rate_{s,c}",flotation,manual,Template index or symbolic family member resolved during code generation.
"recycle_grade_j_{s,3}",template_variable,"feed_j_rate_{s,c}",flotation,manual,Template index or symbolic family member resolved during code generation.
report_delay,known_global,report_time,lab,1039,Shared simulation constant or helper function.
report_time_mag_mixed_conc_tfe,lab_schedule,lab_mag_mixed_conc_tfe,lab,manual,Laboratory sample/report timing supplied by the lab scheduler.
report_time_tm_overflow_tfe,lab_schedule,lab_tm_overflow_tfe,lab,manual,Laboratory sample/report timing supplied by the lab scheduler.
rho_cao_kg_L,parameter,dose_cao_kg_t_s,flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
rho_fe_carb,parameter,rho_solid_mix;rho_solid_mix_i;rho_solid_mix_mixed,boundary;global,185;348;398,"Calibration, geometry, or tuning parameter; not generated by process equations."
rho_fe_hem,parameter,rho_solid_mix;rho_solid_mix_i;rho_solid_mix_mixed,boundary;global,185;348;398,"Calibration, geometry, or tuning parameter; not generated by process equations."
rho_fe_mag,parameter,rho_solid_mix;rho_solid_mix_i;rho_solid_mix_mixed,boundary;global,185;348;398,"Calibration, geometry, or tuning parameter; not generated by process equations."
rho_fe_sil,parameter,rho_solid_mix;rho_solid_mix_i;rho_solid_mix_mixed,boundary;global,185;348;398,"Calibration, geometry, or tuning parameter; not generated by process equations."
rho_gangue,parameter,rho_solid_mix;rho_solid_mix_i;rho_solid_mix_mixed,boundary;global,185;348;398,"Calibration, geometry, or tuning parameter; not generated by process equations."
rho_j,parameter,"rho_froth_mix_{s,c}",flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
rho_k6_kg_L,parameter,dose_DF_K6_s,flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
rho_naoh_kg_L,parameter,dose_naoh_kg_t_s,flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
rho_slurry_s,parameter,"I_cell_motor_phys_{s,c};I_pool_phys_{s,k};P_cell_{s,c};Q_out_solid_{s,c}",flotation,1554;1610;1641;1656,"Calibration, geometry, or tuning parameter; not generated by process equations."
rho_solid_mix_s,parameter,L_NT_s;rho_under_s,flotation,1453;1457,"Calibration, geometry, or tuning parameter; not generated by process equations."
rho_td_kg_L,parameter,dose_TD_s,flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
rho_water,known_global,M_mill_water_in;Q_overflow;V_slurry;specific_gravity,global;magnetic;tower_mill,1249;1339;1358;200,Shared simulation constant or helper function.
s0_c,parameter,"froth_stability_{s,c}",flotation,1566,"Calibration, geometry, or tuning parameter; not generated by process equations."
s_C_c,parameter,"froth_stability_{s,c}",flotation,1566,"Calibration, geometry, or tuning parameter; not generated by process equations."
s_Ca_c,parameter,"froth_stability_{s,c}",flotation,1566,"Calibration, geometry, or tuning parameter; not generated by process equations."
s_Ca_carb,parameter,E_Ca2_carb_s,flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
s_Ca_sil,parameter,E_Ca2_sil_s,flotation,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
s_K6_c,parameter,"froth_stability_{s,c}",flotation,1566,"Calibration, geometry, or tuning parameter; not generated by process equations."
s_TD_c,parameter,"froth_stability_{s,c}",flotation,1566,"Calibration, geometry, or tuning parameter; not generated by process equations."
s_clay_c,parameter,"froth_stability_{s,c}",flotation,1566,"Calibration, geometry, or tuning parameter; not generated by process equations."
s_f25_c,parameter,"froth_stability_{s,c}",flotation,1566,"Calibration, geometry, or tuning parameter; not generated by process equations."
s_lib_c,parameter,"froth_stability_{s,c}",flotation,1566,"Calibration, geometry, or tuning parameter; not generated by process equations."
sample_time,parameter,report_time,lab,1039,"Calibration, geometry, or tuning parameter; not generated by process equations."
sample_time_mag_mixed_conc_tfe,parameter,lab_mag_mixed_conc_tfe,lab,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
sample_time_tm_overflow_tfe,parameter,lab_tm_overflow_tfe,lab,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
scraper_nom_c,parameter,"scraper_speed_{s,c}",flotation,1563,"Calibration, geometry, or tuning parameter; not generated by process equations."
selectivity_ref,parameter,dose_need_DF_K6_s,flotation,1493,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_C_c,parameter,"E_density_{s,c}",flotation,1596,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_L,parameter,E_level,magnetic,523,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_WI,parameter,dWI_i,global,144,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_assay,parameter,lab_sample,lab,1038,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_assay_tfe,parameter,lab_mag_mixed_conc_tfe;lab_tm_overflow_tfe,lab,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_carb,parameter,dr_carb_i,global,146,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_clay,parameter,dclay_i,global,145,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_f200_pct,parameter,lab_{i}_eryi_f200,boundary,433,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_pH_c,parameter,"E_pH_{s,c}",flotation,1594,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_pul,parameter,E_pulse,magnetic,521,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_ring,parameter,E_ring,magnetic,522,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_sampling,parameter,lab_sample,lab,1038,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_sampling_mag,parameter,lab_mag_mixed_conc_tfe,lab,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_sampling_tm,parameter,lab_tm_overflow_tfe,lab,manual,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_split_meter,parameter,split_s1_meter1;split_s2_meter1,flotation,1627;1628,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_tfe_pct,parameter,lab_{i}_eryi_tfe,boundary,432,"Calibration, geometry, or tuning parameter; not generated by process equations."
sigma_y,parameter,y_fx_xin_s,flotation,974,"Calibration, geometry, or tuning parameter; not generated by process equations."
speed_max_b,parameter,blower_speed_sp_b,flotation,1544,"Calibration, geometry, or tuning parameter; not generated by process equations."
speed_max_c,parameter,"scraper_speed_{s,c}",flotation,1563,"Calibration, geometry, or tuning parameter; not generated by process equations."
speed_min_b,parameter,blower_speed_sp_b,flotation,1544,"Calibration, geometry, or tuning parameter; not generated by process equations."
speed_min_c,parameter,"scraper_speed_{s,c}",flotation,1563,"Calibration, geometry, or tuning parameter; not generated by process equations."
speed_nom_b,parameter,blower_speed_sp_b,flotation,1544,"Calibration, geometry, or tuning parameter; not generated by process equations."
split_NT_s,parameter,M_NT_in_solid_s;M_NT_in_water_s;Q_NT_in_s,flotation,1446;1447;1448,"Calibration, geometry, or tuning parameter; not generated by process equations."
split_meter_nom,parameter,split_s1_meter1;split_s2_meter1,flotation,1627;1628,"Calibration, geometry, or tuning parameter; not generated by process equations."
split_s1_nom,parameter,split_s1_total,flotation,1624,"Calibration, geometry, or tuning parameter; not generated by process equations."
split_tail_1_nom,parameter,split_tail_1;u_tail_1_sp;u_tail_2_sp,magnetic,1244;1245;1246,"Calibration, geometry, or tuning parameter; not generated by process equations."
standardize,parameter,quality_proxy_s,flotation,1471,"Calibration, geometry, or tuning parameter; not generated by process equations."
standardized,parameter,online_froth_proxy;online_load_proxy,dcs,1185;1186,"Calibration, geometry, or tuning parameter; not generated by process equations."
sum_b,known_global,P_blower_power_total;blower_load_share_b,flotation,1542;1661,Shared simulation constant or helper function.
sum_c,known_global,sum_cell_power_s1;sum_cell_power_s2,flotation,1664;1665,Shared simulation constant or helper function.
sum_k,known_global,sum_pool_power_s1;sum_pool_power_s2,flotation,1666;1667,Shared simulation constant or helper function.
"sum_{s,c}",parameter,P_header_sp;Q_air_total,flotation,1537;1538,"Calibration, geometry, or tuning parameter; not generated by process equations."
"tank_map_{k,j}",template_variable,"reagent_heat_load_{s,k}",flotation,1650,Template index or symbolic family member resolved during code generation.
tau_NT_C,parameter,C_under_s,flotation,1456,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_P,parameter,P_mech,tower_mill,1370,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_act,parameter,u_actual,global,290,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_adsorption_K6_s,parameter,dose_DF_K6_effective_s,flotation,1504,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_adsorption_TD_s,parameter,dose_TD_effective_s,flotation,1503,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_blower_speed_b,parameter,blower_speed_b,flotation,1545,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_bv_c,parameter,"u_bv_{s,c}",flotation,1556,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_coil,parameter,T_coil,magnetic,1222,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_exc_act,parameter,I_exc,magnetic,1215,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_flush_valve,parameter,u_flush,magnetic,1261,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_froth_c,parameter,"h_froth_{s,c}",flotation,1568,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_header_pressure,parameter,P_header,flotation,1548,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_j_act,parameter,"f_{s,j}",flotation,1499,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_lv_c,parameter,"u_lv_fb_{s,c}",flotation,1583,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_mill_residence,parameter,F325_discharge;Liberation_fe_discharge;Liberation_gangue_discharge;T_slurry_discharge,tower_mill,1379;1380;1381;1382,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_oil,parameter,T_oil,tower_mill,1392,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_oil_cooler,parameter,u_oil_cooler,tower_mill,1389,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_oil_pump,parameter,f_oil_pump,tower_mill,1386,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_pH,parameter,pH_s,flotation,1528,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_pool_pump_k,parameter,"f_pool_{s,k}",flotation,1639,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_pul_act,parameter,f_pul,magnetic,1236,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_pump_act,parameter,f_pump,tower_mill,1314,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_ring_act,parameter,f_ring,magnetic,1237,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_sand_valve,parameter,u_sand,tower_mill,1325,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_steam_k,parameter,"u_steam_fb_{s,k}",flotation,1649,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_tail_valve,parameter,u_tail;u_tail_2,magnetic,1247;1248,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_tank_k,parameter,"T_tank_{s,k}",flotation,1654,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_thermal_A,parameter,T_stator_A,tower_mill,1398,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_thermal_B,parameter,T_stator_B,tower_mill,1399,"Calibration, geometry, or tuning parameter; not generated by process equations."
tau_water_valve,parameter,u_water,tower_mill,1320,"Calibration, geometry, or tuning parameter; not generated by process equations."
thermal_derate,known_global,B_eff,magnetic,477,Shared simulation constant or helper function.
theta_WI,parameter,dWI_i,global,144,"Calibration, geometry, or tuning parameter; not generated by process equations."
theta_carb,parameter,dr_carb_i,global,146,"Calibration, geometry, or tuning parameter; not generated by process equations."
theta_clay,parameter,dclay_i,global,145,"Calibration, geometry, or tuning parameter; not generated by process equations."
tm_motor_current_lag,previous_state_reference,online_load_proxy,dcs,1185,Lagged state supplied by the simulator state store.
topology_feed_j_rate,known_global,"feed_j_rate_{s,c}",flotation,manual,Shared simulation constant or helper function.
true_value_at_sample_point,known_global,lab_sample,lab,1038,Shared simulation constant or helper function.
u0_c,parameter,"u_lv_sp_{s,c}",flotation,1582,"Calibration, geometry, or tuning parameter; not generated by process equations."
u_NT_under_s,equipment_or_control_state,Q_NT_under_s,flotation,1461,Equipment state or actuator signal generated by another execution block.
u_bd_nom,parameter,u_blowdown_phys,magnetic,1254,"Calibration, geometry, or tuning parameter; not generated by process equations."
u_bv,equipment_or_control_state,header_resistance,flotation,1541,Equipment state or actuator signal generated by another execution block.
"u_bv_prev_{s,c}",equipment_or_control_state,"u_bv_{s,c}",flotation,1556,Equipment state or actuator signal generated by another execution block.
u_bv_ref,parameter,P_header_sp,flotation,1537,"Calibration, geometry, or tuning parameter; not generated by process equations."
u_flush_nom,parameter,u_flush_sp,magnetic,1256,"Calibration, geometry, or tuning parameter; not generated by process equations."
u_flush_prev,previous_state_reference,u_flush,magnetic,1261,Lagged state supplied by the simulator state store.
"u_lv_fb_prev_{s,c}",equipment_or_control_state,"u_lv_fb_{s,c}",flotation,1583,Equipment state or actuator signal generated by another execution block.
u_max,parameter,u_actual;u_sp,global,282;290,"Calibration, geometry, or tuning parameter; not generated by process equations."
u_min,parameter,u_actual;u_sp,global,282;290,"Calibration, geometry, or tuning parameter; not generated by process equations."
u_nom,parameter,u_sp,global,282,"Calibration, geometry, or tuning parameter; not generated by process equations."
u_oil_cooler_nom,parameter,u_oil_cooler_sp,tower_mill,1388,"Calibration, geometry, or tuning parameter; not generated by process equations."
u_oil_cooler_prev,previous_state_reference,u_oil_cooler,tower_mill,1389,Lagged state supplied by the simulator state store.
u_sand_nom,parameter,u_sand_sp,tower_mill,1324,"Calibration, geometry, or tuning parameter; not generated by process equations."
u_sand_prev,previous_state_reference,u_sand,tower_mill,1325,Lagged state supplied by the simulator state store.
"u_steam_fb_prev_{s,k}",equipment_or_control_state,"u_steam_fb_{s,k}",flotation,1649,Equipment state or actuator signal generated by another execution block.
u_steam_nom_k,equipment_or_control_state,"u_steam_sp_{s,k}",flotation,1648,Equipment state or actuator signal generated by another execution block.
u_tail_2_prev,previous_state_reference,u_tail_2,magnetic,1248,Lagged state supplied by the simulator state store.
u_tail_nom,parameter,u_tail_total_sp,magnetic,1243,"Calibration, geometry, or tuning parameter; not generated by process equations."
u_tail_prev,previous_state_reference,u_tail,magnetic,1247,Lagged state supplied by the simulator state store.
u_water_nom,parameter,u_water_sp,tower_mill,1319,"Calibration, geometry, or tuning parameter; not generated by process equations."
u_water_prev,previous_state_reference,u_water,tower_mill,1320,Lagged state supplied by the simulator state store.
w_carb,parameter,floatability_difficulty,flotation,1478,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_clay,parameter,floatability_difficulty,flotation,1478,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_coarse,parameter,floatability_difficulty;magnetic_difficulty,flotation;magnetic,1207;1478,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_density,parameter,floatability_difficulty,flotation,1478,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_fine,parameter,floatability_difficulty,flotation,1478,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_froth,parameter,quality_proxy_s,flotation,1471,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_harmful,parameter,magnetic_difficulty,magnetic,1207,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_load,parameter,magnetic_difficulty;quality_proxy_s,flotation;magnetic,1207;1471,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_low_lib,parameter,floatability_difficulty;magnetic_difficulty,flotation;magnetic,1207;1478,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_low_mag,parameter,magnetic_difficulty,magnetic,1207,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_mag_lab,parameter,quality_proxy_s,flotation,1471,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_pressure,parameter,quality_proxy_s,flotation,1471,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_sil,parameter,floatability_difficulty,flotation,1478,"Calibration, geometry, or tuning parameter; not generated by process equations."
w_tm_lab,parameter,quality_proxy_s,flotation,1471,"Calibration, geometry, or tuning parameter; not generated by process equations."
water_pressure,known_global,P_flush_phys;Q_cooling_water;Q_flush;Q_sand_water_phys;Q_water_phys;_x_d4,boundary;magnetic;tower_mill,1220;1262;1263;1321;1326;420,Shared simulation constant or helper function.
weighted_mean_b,known_global,P_header_ss,flotation,1547,Shared simulation constant or helper function.
xi_C_i,parameter,C_i,boundary,317,"Calibration, geometry, or tuning parameter; not generated by process equations."
xi_G_i,parameter,TFe_i,boundary,320,"Calibration, geometry, or tuning parameter; not generated by process equations."
xi_common,parameter,M_wet_i,boundary,316,"Calibration, geometry, or tuning parameter; not generated by process equations."
xi_i,parameter,M_wet_i,boundary,316,"Calibration, geometry, or tuning parameter; not generated by process equations."
